"Ano","Pos","Pts","Rodada","Clube"
2018,4,60.5185185185185,27,"Atlético-GO"
2018,4,61.0714285714286,28,"Avaí"
2018,4,58.9655172413793,29,"Avaí"
2018,4,60.8,30,"Avaí"
2018,4,61.2903225806452,31,"CSA"
2018,4,60.5625,32,"CSA"
2018,4,61.030303030303,33,"Goiás"
2018,4,60.3529411764706,34,"Goiás"
2018,4,61.8857142857143,35,"Avaí"
2018,4,60.1666666666667,36,"Avaí"
2018,4,60.5945945945946,37,"Ponte Preta"
2018,4,60,38,"Goiás"
2019,4,114,1,"Londrina"
2019,4,76,2,"Atlético-GO"
2019,4,88.6666666666667,3,"Londrina"
2019,4,66.5,4,"Bragantino"
2019,4,68.4,5,"Sport"
2019,4,69.6666666666667,6,"Ponte Preta"
2019,4,65.1428571428571,7,"Sport"
2019,4,71.25,8,"Ponte Preta"
2019,4,67.5555555555556,9,"Botafogo-SP"
2019,4,68.4,10,"Atlético-GO"
2019,4,69.0909090909091,11,"Londrina"
2019,4,66.5,12,"Sport"
2019,4,64.3076923076923,13,"Coritiba"
2019,4,62.4285714285714,14,"Botafogo-SP"
2019,4,60.8,15,"Londrina"
2019,4,61.75,16,"Ponte Preta"
2019,4,64.8235294117647,17,"Sport"
2019,4,63.3333333333333,18,"Sport"
2019,4,62,19,"Sport"
2019,4,60.8,20,"Sport"
2019,4,61.5238095238095,21,"Coritiba"
2019,4,58.7272727272727,22,"Coritiba"
2019,4,59.4782608695652,23,"CRB"
2019,4,58.5833333333333,24,"CRB"
2019,4,57.76,25,"CRB"
2019,4,57,26,"Botafogo-SP"
2019,4,57.7037037037037,27,"Coritiba"
2019,4,59.7142857142857,28,"Coritiba"
2019,4,61.5862068965517,29,"Coritiba"
2019,4,60.8,30,"Coritiba"
2019,4,60.0645161290323,31,"Coritiba"
2019,4,60.5625,32,"Atlético-GO"
2019,4,61.030303030303,33,"Coritiba"
2019,4,60.3529411764706,34,"Atlético-GO"
2019,4,61.8857142857143,35,"Atlético-GO"
2019,4,63.3333333333333,36,"Atlético-GO"
2019,4,62.6486486486487,37,"América-MG"
2019,4,62,38,"Atlético-GO"
2006,5,114,1,"Coritiba"
2006,5,76,2,"Coritiba"
2006,5,76,3,"Náutico"
2006,5,66.5,4,"Náutico"
2006,5,68.4,5,"Paulista"
2006,5,63.3333333333333,6,"Náutico"
2006,5,59.7142857142857,7,"Náutico"
2006,5,61.75,8,"Atlético-MG"
2006,5,59.1111111111111,9,"Ituano"
2006,5,57,10,"Coritiba"
2006,5,58.7272727272727,11,"Guarani"
2006,5,57,12,"Brasiliense"
2006,5,61.3846153846154,13,"Brasiliense"
2006,5,59.7142857142857,14,"Marília"
2006,5,58.2666666666667,15,"Marília"
2006,5,54.625,16,"Paulista"
2006,5,58.1176470588235,17,"Sport"
2006,5,61.2222222222222,18,"CRB"
2006,5,58,19,"CRB"
2006,5,58.9,20,"Brasiliense"
2006,5,57.9047619047619,21,"Marília"
2006,5,57,22,"Avaí"
2006,5,56.1739130434783,23,"América-RN"
2006,5,58.5833333333333,24,"América-RN"
2006,5,57.76,25,"Paulista"
2006,5,58.4615384615385,26,"América-RN"
2006,5,57.7037037037037,27,"Coritiba"
2006,5,58.3571428571429,28,"América-RN"
2006,5,57.6551724137931,29,"Coritiba"
2006,5,58.2666666666667,30,"América-RN"
2006,5,58.8387096774194,31,"Paulista"
2006,5,59.375,32,"Coritiba"
2006,5,58.7272727272727,33,"Paulista"
2006,5,60.3529411764706,34,"Paulista"
2006,5,59.7142857142857,35,"Coritiba"
2006,5,58.0555555555556,36,"Coritiba"
2006,5,59.5675675675676,37,"Paulista"
2006,5,61,38,"Paulista"
2007,5,114,1,"Ceará"
2007,5,76,2,"Ponte Preta"
2007,5,76,3,"Coritiba"
2007,5,66.5,4,"São Caetano"
2007,5,68.4,5,"Coritiba"
2007,5,69.6666666666667,6,"São Caetano"
2007,5,65.1428571428571,7,"Fortaleza"
2007,5,61.75,8,"Coritiba"
2007,5,63.3333333333333,9,"Brasiliense"
2007,5,57,10,"Vitória"
2007,5,62.1818181818182,11,"Brasiliense"
2007,5,63.3333333333333,12,"Barueri"
2007,5,61.3846153846154,13,"Gama"
2007,5,57,14,"Vitória"
2007,5,60.8,15,"Vitória"
2007,5,64.125,16,"Barueri"
2007,5,60.3529411764706,17,"Ponte Preta"
2007,5,59.1111111111111,18,"Portuguesa"
2007,5,60,19,"CRB"
2007,5,60.8,20,"Portuguesa"
2007,5,59.7142857142857,21,"Vitória"
2007,5,58.7272727272727,22,"Vitória"
2007,5,61.1304347826087,23,"Brasiliense"
2007,5,58.5833333333333,24,"Marília"
2007,5,60.8,25,"Brasiliense"
2007,5,59.9230769230769,26,"Portuguesa"
2007,5,57.7037037037037,27,"Vitória"
2007,5,59.7142857142857,28,"Vitória"
2007,5,60.2758620689655,29,"Portuguesa"
2007,5,60.8,30,"Ipatinga"
2007,5,58.8387096774194,31,"Criciúma"
2007,5,58.1875,32,"Criciúma"
2007,5,57.5757575757576,33,"Criciúma"
2007,5,55.8823529411765,34,"Fortaleza"
2007,5,54.2857142857143,35,"Marília"
2007,5,54.8888888888889,36,"Brasiliense"
2007,5,54.4324324324324,37,"Marília"
2007,5,56,38,"Fortaleza"
2008,5,114,1,"Ceará"
2008,5,76,2,"Barueri"
2008,5,76,3,"Criciúma"
2008,5,66.5,4,"São Caetano"
2008,5,60.8,5,"São Caetano"
2008,5,63.3333333333333,6,"Avaí"
2008,5,59.7142857142857,7,"Ceará"
2008,5,66.5,8,"Barueri"
2008,5,67.5555555555556,9,"Avaí"
2008,5,64.6,10,"Vila Nova"
2008,5,62.1818181818182,11,"Ceará"
2008,5,60.1666666666667,12,"Ponte Preta"
2008,5,64.3076923076923,13,"Ponte Preta"
2008,5,65.1428571428571,14,"Avaí"
2008,5,63.3333333333333,15,"Juventude"
2008,5,61.75,16,"Ceará"
2008,5,62.5882352941176,17,"Juventude"
2008,5,61.2222222222222,18,"Ponte Preta"
2008,5,64,19,"Vila Nova"
2008,5,62.7,20,"Ponte Preta"
2008,5,65.1428571428571,21,"Barueri"
2008,5,62.1818181818182,22,"Barueri"
2008,5,64.4347826086957,23,"Barueri"
2008,5,61.75,24,"Barueri"
2008,5,63.84,25,"Bragantino"
2008,5,65.7692307692308,26,"Bragantino"
2008,5,63.3333333333333,27,"Barueri"
2008,5,65.1428571428571,28,"Santo André"
2008,5,62.8965517241379,29,"Barueri"
2008,5,64.6,30,"Vila Nova"
2008,5,62.5161290322581,31,"Vila Nova"
2008,5,60.5625,32,"Barueri"
2008,5,62.1818181818182,33,"Barueri"
2008,5,60.3529411764706,34,"Barueri"
2008,5,59.7142857142857,35,"Vila Nova"
2008,5,60.1666666666667,36,"Bragantino"
2008,5,58.5405405405405,37,"Bragantino"
2008,5,58,38,"Ponte Preta"
2009,5,114,1,"Ponte Preta"
2009,5,114,2,"Vasco"
2009,5,76,3,"Ipatinga"
2009,5,76,4,"Portuguesa"
2009,5,76,5,"Vila Nova"
2009,5,69.6666666666667,6,"Portuguesa"
2009,5,65.1428571428571,7,"Vasco"
2009,5,66.5,8,"Portuguesa"
2009,5,71.7777777777778,9,"Portuguesa"
2009,5,68.4,10,"Portuguesa"
2009,5,69.0909090909091,11,"Vasco"
2009,5,66.5,12,"Portuguesa"
2009,5,67.2307692307692,13,"Vasco"
2009,5,70.5714285714286,14,"Vasco"
2009,5,65.8666666666667,15,"Figueirense"
2009,5,64.125,16,"Portuguesa"
2009,5,60.3529411764706,17,"Portuguesa"
2009,5,61.2222222222222,18,"Figueirense"
2009,5,60,19,"São Caetano"
2009,5,62.7,20,"São Caetano"
2009,5,59.7142857142857,21,"São Caetano"
2009,5,62.1818181818182,22,"São Caetano"
2009,5,61.1304347826087,23,"São Caetano"
2009,5,60.1666666666667,24,"Portuguesa"
2009,5,60.8,25,"São Caetano"
2009,5,61.3846153846154,26,"Figueirense"
2009,5,63.3333333333333,27,"Figueirense"
2009,5,65.1428571428571,28,"Figueirense"
2009,5,62.8965517241379,29,"Figueirense"
2009,5,63.3333333333333,30,"Atlético-GO"
2009,5,62.5161290322581,31,"Figueirense"
2009,5,60.5625,32,"Figueirense"
2009,5,62.1818181818182,33,"Figueirense"
2009,5,63.7058823529412,34,"Figueirense"
2009,5,61.8857142857143,35,"Figueirense"
2009,5,63.3333333333333,36,"Figueirense"
2009,5,62.6486486486487,37,"Portuguesa"
2009,5,62,38,"Portuguesa"
2010,5,114,1,"Brasiliense"
2010,5,76,2,"Brasiliense"
2010,5,76,3,"Paraná"
2010,5,76,4,"América-MG"
2010,5,83.6,5,"Náutico"
2010,5,69.6666666666667,6,"América-MG"
2010,5,70.5714285714286,7,"Figueirense"
2010,5,71.25,8,"América-MG"
2010,5,67.5555555555556,9,"Portuguesa"
2010,5,68.4,10,"São Caetano"
2010,5,65.6363636363636,11,"Paraná"
2010,5,66.5,12,"América-MG"
2010,5,70.1538461538462,13,"Náutico"
2010,5,70.5714285714286,14,"Portuguesa"
2010,5,68.4,15,"Náutico"
2010,5,64.125,16,"Portuguesa"
2010,5,64.8235294117647,17,"Ponte Preta"
2010,5,63.3333333333333,18,"América-MG"
2010,5,62,19,"Náutico"
2010,5,62.7,20,"América-MG"
2010,5,61.5238095238095,21,"América-MG"
2010,5,63.9090909090909,22,"Ponte Preta"
2010,5,64.4347826086957,23,"Figueirense"
2010,5,63.3333333333333,24,"Ponte Preta"
2010,5,62.32,25,"Ponte Preta"
2010,5,62.8461538461538,26,"Sport"
2010,5,60.5185185185185,27,"Sport"
2010,5,61.0714285714286,28,"Ponte Preta"
2010,5,60.2758620689655,29,"Sport"
2010,5,62.0666666666667,30,"Sport"
2010,5,61.2903225806452,31,"Sport"
2010,5,60.5625,32,"Sport"
2010,5,62.1818181818182,33,"Sport"
2010,5,60.3529411764706,34,"Sport"
2010,5,60.8,35,"Portuguesa"
2010,5,59.1111111111111,36,"Portuguesa"
2010,5,60.5945945945946,37,"Portuguesa"
2010,5,62,38,"Portuguesa"
2011,5,114,1,"Sport"
2011,5,57,2,"Ponte Preta"
2011,5,63.3333333333333,3,"ABC"
2011,5,66.5,4,"Vila Nova"
2011,5,60.8,5,"Portuguesa"
2011,5,63.3333333333333,6,"Vitória"
2011,5,70.5714285714286,7,"ABC"
2011,5,66.5,8,"Vitória"
2011,5,59.1111111111111,9,"Vitória"
2011,5,64.6,10,"Vitória"
2011,5,69.0909090909091,11,"ABC"
2011,5,63.3333333333333,12,"Americana"
2011,5,64.3076923076923,13,"ABC"
2011,5,62.4285714285714,14,"Criciúma"
2011,5,58.2666666666667,15,"Sport"
2011,5,57,16,"ASA"
2011,5,58.1176470588235,17,"Criciúma"
2011,5,57,18,"Americana"
2011,5,58,19,"Sport"
2011,5,58.9,20,"Paraná"
2011,5,59.7142857142857,21,"Sport"
2011,5,62.1818181818182,22,"Sport"
2011,5,64.4347826086957,23,"Sport"
2011,5,63.3333333333333,24,"Sport"
2011,5,62.32,25,"Americana"
2011,5,62.8461538461538,26,"Sport"
2011,5,60.5185185185185,27,"Sport"
2011,5,61.0714285714286,28,"Boa"
2011,5,60.2758620689655,29,"Boa"
2011,5,59.5333333333333,30,"Boa"
2011,5,58.8387096774194,31,"Sport"
2011,5,57,32,"Sport"
2011,5,57.5757575757576,33,"Vitória"
2011,5,58.1176470588235,34,"Bragantino"
2011,5,58.6285714285714,35,"Vitória"
2011,5,60.1666666666667,36,"Vitória"
2011,5,59.5675675675676,37,"Bragantino"
2011,5,60,38,"Vitória"
2012,5,114,1,"América-MG"
2012,5,76,2,"Avaí"
2012,5,63.3333333333333,3,"ABC"
2012,5,66.5,4,"Vitória"
2012,5,76,5,"Joinville"
2012,5,69.6666666666667,6,"Joinville"
2012,5,59.7142857142857,7,"Boa"
2012,5,57,8,"Boa"
2012,5,63.3333333333333,9,"Paraná"
2012,5,68.4,10,"São Caetano"
2012,5,65.6363636363636,11,"São Caetano"
2012,5,69.6666666666667,12,"São Caetano"
2012,5,73.0769230769231,13,"Goiás"
2012,5,70.5714285714286,14,"São Caetano"
2012,5,68.4,15,"Joinville"
2012,5,71.25,16,"São Caetano"
2012,5,71.5294117647059,17,"Goiás"
2012,5,69.6666666666667,18,"Goiás"
2012,5,66,19,"Goiás"
2012,5,64.6,20,"São Caetano"
2012,5,66.9523809523809,21,"São Caetano"
2012,5,65.6363636363636,22,"Joinville"
2012,5,66.0869565217391,23,"Atlético-PR"
2012,5,68.0833333333333,24,"São Caetano"
2012,5,65.36,25,"Atlético-PR"
2012,5,67.2307692307692,26,"Atlético-PR"
2012,5,66.1481481481482,27,"Joinville"
2012,5,66.5,28,"Atlético-PR"
2012,5,68.1379310344828,29,"Atlético-PR"
2012,5,69.6666666666667,30,"Atlético-PR"
2012,5,69.8709677419355,31,"São Caetano"
2012,5,68.875,32,"São Caetano"
2012,5,70.2424242424242,33,"São Caetano"
2012,5,68.1764705882353,34,"São Caetano"
2012,5,69.4857142857143,35,"São Caetano"
2012,5,70.7222222222222,36,"São Caetano"
2012,5,69.8378378378378,37,"São Caetano"
2012,5,71,38,"São Caetano"
2013,5,114,1,"Icasa"
2013,5,76,2,"Avaí"
2013,5,76,3,"Palmeiras"
2013,5,76,4,"Oeste"
2013,5,68.4,5,"Figueirense"
2013,5,63.3333333333333,6,"Figueirense"
2013,5,70.5714285714286,7,"América-MG"
2013,5,71.25,8,"Sport"
2013,5,67.5555555555556,9,"Figueirense"
2013,5,68.4,10,"Paraná"
2013,5,65.6363636363636,11,"Paraná"
2013,5,63.3333333333333,12,"Joinville"
2013,5,64.3076923076923,13,"Figueirense"
2013,5,62.4285714285714,14,"Boa"
2013,5,63.3333333333333,15,"América-MG"
2013,5,61.75,16,"América-MG"
2013,5,64.8235294117647,17,"Boa"
2013,5,63.3333333333333,18,"Joinville"
2013,5,62,19,"Joinville"
2013,5,58.9,20,"Sport"
2013,5,59.7142857142857,21,"América-MG"
2013,5,58.7272727272727,22,"Sport"
2013,5,61.1304347826087,23,"Sport"
2013,5,60.1666666666667,24,"Icasa"
2013,5,60.8,25,"Sport"
2013,5,61.3846153846154,26,"Joinville"
2013,5,61.9259259259259,27,"Avaí"
2013,5,61.0714285714286,28,"Paraná"
2013,5,60.2758620689655,29,"Paraná"
2013,5,59.5333333333333,30,"Icasa"
2013,5,61.2903225806452,31,"Avaí"
2013,5,59.375,32,"Icasa"
2013,5,61.030303030303,33,"Avaí"
2013,5,59.2352941176471,34,"Avaí"
2013,5,60.8,35,"Ceará"
2013,5,62.2777777777778,36,"Ceará"
2013,5,60.5945945945946,37,"Icasa"
2013,5,59,38,"Icasa"
2014,5,38,1,"Bragantino"
2014,5,76,2,"ABC"
2014,5,63.3333333333333,3,"Bragantino"
2014,5,66.5,4,"Ceará"
2014,5,68.4,5,"Luverdense"
2014,5,69.6666666666667,6,"Ceará"
2014,5,65.1428571428571,7,"Vasco"
2014,5,61.75,8,"ABC"
2014,5,67.5555555555556,9,"Ponte Preta"
2014,5,64.6,10,"ABC"
2014,5,69.0909090909091,11,"Vasco"
2014,5,66.5,12,"Vasco"
2014,5,64.3076923076923,13,"Sampaio Corrêa"
2014,5,62.4285714285714,14,"Joinville"
2014,5,65.8666666666667,15,"Joinville"
2014,5,61.75,16,"América-MG"
2014,5,64.8235294117647,17,"Joinville"
2014,5,63.3333333333333,18,"Joinville"
2014,5,64,19,"Vasco"
2014,5,64.6,20,"Ponte Preta"
2014,5,61.5238095238095,21,"Ponte Preta"
2014,5,63.9090909090909,22,"Ponte Preta"
2014,5,64.4347826086957,23,"Ceará"
2014,5,63.3333333333333,24,"Ceará"
2014,5,65.36,25,"Ceará"
2014,5,62.8461538461538,26,"Ceará"
2014,5,64.7407407407407,27,"Ceará"
2014,5,63.7857142857143,28,"Ceará"
2014,5,65.5172413793103,29,"Ceará"
2014,5,63.3333333333333,30,"Ceará"
2014,5,61.2903225806452,31,"Ceará"
2014,5,60.5625,32,"Santa Cruz"
2014,5,59.8787878787879,33,"Avaí"
2014,5,59.2352941176471,34,"Atlético-GO"
2014,5,57.5428571428571,35,"Boa"
2014,5,59.1111111111111,36,"Atlético-GO"
2014,5,60.5945945945946,37,"Atlético-GO"
2014,5,61,38,"América-MG"
2015,5,114,1,"Atlético-GO"
2015,5,57,2,"Santa Cruz"
2015,5,76,3,"Macaé"
2015,5,76,4,"Sampaio Corrêa"
2015,5,76,5,"Macaé"
2015,5,76,6,"Paysandu"
2015,5,76,7,"Bahia"
2015,5,76,8,"Paysandu"
2015,5,71.7777777777778,9,"América-MG"
2015,5,72.2,10,"Vitória"
2015,5,72.5454545454545,11,"Náutico"
2015,5,72.8333333333333,12,"Vitória"
2015,5,70.1538461538462,13,"Náutico"
2015,5,67.8571428571429,14,"Sampaio Corrêa"
2015,5,65.8666666666667,15,"Paysandu"
2015,5,66.5,16,"Náutico"
2015,5,62.5882352941176,17,"Sampaio Corrêa"
2015,5,65.4444444444444,18,"Sampaio Corrêa"
2015,5,64,19,"Náutico"
2015,5,64.6,20,"Bahia"
2015,5,63.3333333333333,21,"Sampaio Corrêa"
2015,5,63.9090909090909,22,"Paysandu"
2015,5,62.7826086956522,23,"Bahia"
2015,5,61.75,24,"Sampaio Corrêa"
2015,5,63.84,25,"Sampaio Corrêa"
2015,5,62.8461538461538,26,"Sampaio Corrêa"
2015,5,61.9259259259259,27,"Santa Cruz"
2015,5,61.0714285714286,28,"América-MG"
2015,5,61.5862068965517,29,"Paysandu"
2015,5,60.8,30,"Paysandu"
2015,5,60.0645161290323,31,"Paysandu"
2015,5,59.375,32,"Sampaio Corrêa"
2015,5,61.030303030303,33,"Sampaio Corrêa"
2015,5,61.4705882352941,34,"Náutico"
2015,5,61.8857142857143,35,"Sampaio Corrêa"
2015,5,60.1666666666667,36,"Bragantino"
2015,5,61.6216216216216,37,"Bragantino"
2015,5,63,38,"Náutico"
2016,5,114,1,"Atlético-GO"
2016,5,76,2,"Goiás"
2016,5,76,3,"Brasil"
2016,5,66.5,4,"Criciúma"
2016,5,68.4,5,"CRB"
2016,5,63.3333333333333,6,"Náutico"
2016,5,70.5714285714286,7,"Criciúma"
2016,5,66.5,8,"Brasil"
2016,5,67.5555555555556,9,"Criciúma"
2016,5,64.6,10,"Bahia"
2016,5,65.6363636363636,11,"CRB"
2016,5,63.3333333333333,12,"Luverdense"
2016,5,61.3846153846154,13,"Náutico"
2016,5,62.4285714285714,14,"Paraná"
2016,5,60.8,15,"Paraná"
2016,5,59.375,16,"Paraná"
2016,5,58.1176470588235,17,"Criciúma"
2016,5,57,18,"Náutico"
2016,5,60,19,"Brasil"
2016,5,62.7,20,"Brasil"
2016,5,59.7142857142857,21,"Brasil"
2016,5,62.1818181818182,22,"Brasil"
2016,5,62.7826086956522,23,"Ceará"
2016,5,60.1666666666667,24,"Ceará"
2016,5,57.76,25,"Londrina"
2016,5,57,26,"CRB"
2016,5,57.7037037037037,27,"Brasil"
2016,5,59.7142857142857,28,"Brasil"
2016,5,58.9655172413793,29,"Náutico"
2016,5,60.8,30,"Londrina"
2016,5,60.0645161290323,31,"Bahia"
2016,5,60.5625,32,"Náutico"
2016,5,61.030303030303,33,"Bahia"
2016,5,60.3529411764706,34,"Náutico"
2016,5,61.8857142857143,35,"Náutico"
2016,5,60.1666666666667,36,"Náutico"
2016,5,61.6216216216216,37,"Náutico"
2016,5,60,38,"Náutico"
2017,5,114,1,"Santa Cruz"
2017,5,76,2,"CRB"
2017,5,76,3,"Figueirense"
2017,5,66.5,4,"Ceará"
2017,5,60.8,5,"Internacional"
2017,5,63.3333333333333,6,"Paysandu"
2017,5,65.1428571428571,7,"Internacional"
2017,5,61.75,8,"Internacional"
2017,5,59.1111111111111,9,"Brasil"
2017,5,60.8,10,"América-MG"
2017,5,58.7272727272727,11,"Internacional"
2017,5,57,12,"Ceará"
2017,5,61.3846153846154,13,"Internacional"
2017,5,62.4285714285714,14,"Vila Nova"
2017,5,60.8,15,"Internacional"
2017,5,59.375,16,"CRB"
2017,5,60.3529411764706,17,"Juventude"
2017,5,59.1111111111111,18,"Guarani"
2017,5,62,19,"Juventude"
2017,5,58.9,20,"Juventude"
2017,5,61.5238095238095,21,"Juventude"
2017,5,58.7272727272727,22,"Paraná"
2017,5,61.1304347826087,23,"Paraná"
2017,5,63.3333333333333,24,"Juventude"
2017,5,62.32,25,"Ceará"
2017,5,61.3846153846154,26,"Ceará"
2017,5,63.3333333333333,27,"Ceará"
2017,5,63.7857142857143,28,"Oeste"
2017,5,61.5862068965517,29,"Vila Nova"
2017,5,63.3333333333333,30,"Vila Nova"
2017,5,62.5161290322581,31,"Vila Nova"
2017,5,61.75,32,"Oeste"
2017,5,63.3333333333333,33,"Oeste"
2017,5,62.5882352941176,34,"Oeste"
2017,5,61.8857142857143,35,"Oeste"
2017,5,61.2222222222222,36,"Londrina"
2017,5,60.5945945945946,37,"Londrina"
2017,5,62,38,"Londrina"
2018,5,114,1,"Figueirense"
2018,5,76,2,"Oeste"
2018,5,76,3,"CSA"
2018,5,85.5,4,"Figueirense"
2018,5,76,5,"Coritiba"
2018,5,69.6666666666667,6,"Avaí"
2018,5,70.5714285714286,7,"Vila Nova"
2018,5,66.5,8,"Coritiba"
2018,5,63.3333333333333,9,"Paysandu"
2018,5,64.6,10,"Coritiba"
2018,5,62.1818181818182,11,"Coritiba"
2018,5,60.1666666666667,12,"Vila Nova"
2018,5,61.3846153846154,13,"Figueirense"
2018,5,59.7142857142857,14,"Avaí"
2018,5,63.3333333333333,15,"Atlético-GO"
2018,5,61.75,16,"Atlético-GO"
2018,5,60.3529411764706,17,"Vila Nova"
2018,5,59.1111111111111,18,"Coritiba"
2018,5,58,19,"Guarani"
2018,5,57,20,"Goiás"
2018,5,59.7142857142857,21,"Avaí"
2018,5,60.4545454545455,22,"Guarani"
2018,5,59.4782608695652,23,"Goiás"
2018,5,58.5833333333333,24,"Guarani"
2018,5,60.8,25,"Atlético-GO"
2018,5,61.3846153846154,26,"Avaí"
2018,5,60.5185185185185,27,"Vila Nova"
2018,5,59.7142857142857,28,"Guarani"
2018,5,58.9655172413793,29,"Guarani"
2018,5,57,30,"Guarani"
2018,5,58.8387096774194,31,"Vila Nova"
2018,5,60.5625,32,"Vila Nova"
2018,5,58.7272727272727,33,"Atlético-GO"
2018,5,58.1176470588235,34,"Vila Nova"
2018,5,58.6285714285714,35,"Londrina"
2018,5,59.1111111111111,36,"Ponte Preta"
2018,5,60.5945945945946,37,"CSA"
2018,5,60,38,"Ponte Preta"
2019,5,114,1,"Bragantino"
2019,5,76,2,"Coritiba"
2019,5,63.3333333333333,3,"Coritiba"
2019,5,66.5,4,"Atlético-GO"
2019,5,60.8,5,"Coritiba"
2019,5,63.3333333333333,6,"CRB"
2019,5,65.1428571428571,7,"Ponte Preta"
2019,5,71.25,8,"Sport"
2019,5,67.5555555555556,9,"Londrina"
2019,5,64.6,10,"Botafogo-SP"
2019,5,65.6363636363636,11,"Ponte Preta"
2019,5,63.3333333333333,12,"Botafogo-SP"
2019,5,64.3076923076923,13,"Paraná"
2019,5,62.4285714285714,14,"Coritiba"
2019,5,60.8,15,"Botafogo-SP"
2019,5,61.75,16,"Sport"
2019,5,60.3529411764706,17,"Botafogo-SP"
2019,5,61.2222222222222,18,"Cuiabá"
2019,5,60,19,"Cuiabá"
2019,5,58.9,20,"Cuiabá"
2019,5,57.9047619047619,21,"Operário"
2019,5,57,22,"CRB"
2019,5,57.8260869565217,23,"Botafogo-SP"
2019,5,57,24,"Botafogo-SP"
2019,5,57.76,25,"Coritiba"
2019,5,55.5384615384615,26,"CRB"
2019,5,57.7037037037037,27,"América-MG"
2019,5,55.6428571428571,28,"América-MG"
2019,5,57.6551724137931,29,"América-MG"
2019,5,59.5333333333333,30,"América-MG"
2019,5,58.8387096774194,31,"América-MG"
2019,5,58.1875,32,"América-MG"
2019,5,57.5757575757576,33,"Paraná"
2019,5,58.1176470588235,34,"América-MG"
2019,5,59.7142857142857,35,"América-MG"
2019,5,61.2222222222222,36,"América-MG"
2019,5,62.6486486486487,37,"Atlético-GO"
2019,5,61,38,"América-MG"
2006,6,114,1,"Ituano"
2006,6,76,2,"Ituano"
2006,6,63.3333333333333,3,"Guarani"
2006,6,57,4,"Paysandu"
2006,6,60.8,5,"Coritiba"
2006,6,63.3333333333333,6,"Paulista"
2006,6,59.7142857142857,7,"Gama"
2006,6,61.75,8,"Avaí"
2006,6,59.1111111111111,9,"Gama"
2006,6,57,10,"Marília"
2006,6,55.2727272727273,11,"Paysandu"
2006,6,57,12,"Ituano"
2006,6,55.5384615384615,13,"Ituano"
2006,6,57,14,"Brasiliense"
2006,6,55.7333333333333,15,"Paysandu"
2006,6,54.625,16,"CRB"
2006,6,58.1176470588235,17,"CRB"
2006,6,61.2222222222222,18,"Atlético-MG"
2006,6,58,19,"Atlético-MG"
2006,6,57,20,"Santo André"
2006,6,56.0952380952381,21,"Brasiliense"
2006,6,55.2727272727273,22,"Paysandu"
2006,6,56.1739130434783,23,"Brasiliense"
2006,6,58.5833333333333,24,"Brasiliense"
2006,6,56.24,25,"América-RN"
2006,6,58.4615384615385,26,"Brasiliense"
2006,6,56.2962962962963,27,"América-RN"
2006,6,58.3571428571429,28,"Brasiliense"
2006,6,56.3448275862069,29,"América-RN"
2006,6,57,30,"Paulista"
2006,6,57.6129032258064,31,"Coritiba"
2006,6,57,32,"Paulista"
2006,6,58.7272727272727,33,"Coritiba"
2006,6,58.1176470588235,34,"Coritiba"
2006,6,58.6285714285714,35,"Paulista"
2006,6,58.0555555555556,36,"Paulista"
2006,6,57.5135135135135,37,"Coritiba"
2006,6,59,38,"Coritiba"
2007,6,114,1,"Criciúma"
2007,6,57,2,"Vitória"
2007,6,76,3,"Fortaleza"
2007,6,66.5,4,"Gama"
2007,6,60.8,5,"Brasiliense"
2007,6,69.6666666666667,6,"Gama"
2007,6,65.1428571428571,7,"Gama"
2007,6,61.75,8,"Barueri"
2007,6,63.3333333333333,9,"Gama"
2007,6,57,10,"Ponte Preta"
2007,6,62.1818181818182,11,"Gama"
2007,6,60.1666666666667,12,"Marília"
2007,6,58.4615384615385,13,"Marília"
2007,6,57,14,"Portuguesa"
2007,6,60.8,15,"Portuguesa"
2007,6,57,16,"Vitória"
2007,6,60.3529411764706,17,"Portuguesa"
2007,6,57,18,"Vitória"
2007,6,60,19,"Brasiliense"
2007,6,57,20,"Vitória"
2007,6,59.7142857142857,21,"CRB"
2007,6,58.7272727272727,22,"CRB"
2007,6,56.1739130434783,23,"Vitória"
2007,6,58.5833333333333,24,"Vitória"
2007,6,57.76,25,"Vitória"
2007,6,58.4615384615385,26,"Brasiliense"
2007,6,56.2962962962963,27,"Marília"
2007,6,55.6428571428571,28,"Marília"
